Date,Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,DEM,Slope,Next_Tmax,Next_Tmin
2013/6/30,28.7,21.4,58.25568771,91.11636353,28.07410146,23.00693617,6.818886966,69.45180527,0.233947471,0.20389571,0.161696854,0.130928198,212.335,2.785,29.1,21.2
2013/6/30,31.9,21.6,52.26339722,90.60472107,29.85068856,24.03500932,5.691889932,51.93744783,0.225508198,0.251771373,0.159444059,0.127727264,44.7624,0.5141,30.5,22.5
2013/6/30,31.6,23.3,48.69047928,83.97358704,30.09129171,24.56563342,6.138223678,20.57304966,0.209343664,0.257469446,0.204091465,0.14212525,33.3068,0.2661,31.1,23.9
2013/6/30,32,23.4,58.23978806,96.48368835,29.7046289,23.32617729,5.650050263,65.72714393,0.216372027,0.226002422,0.16115741,0.134248676,45.716,2.5348,31.7,24.3
2013/6/30,31.4,21.9,56.17409515,90.15512848,29.11393432,23.48647993,5.735004306,107.9655353,0.151406899,0.249995278,0.178892475,0.170020995,35.038,0.5055,31.2,22.5
2013/6/30,31.9,23.5,52.43712616,85.30725098,29.21934227,23.8226129,6.182295263,50.23138913,0.185278777,0.280817986,0.232840977,0.146362898,54.6384,0.1457,31.5,24
2013/6/30,31.4,24.4,56.28718948,81.01976013,28.55185865,24.23846712,5.587134739,125.110007,0.389600243,0.333569981,0.270418989,0.145705371,12.37,0.0985,30.9,23.4
2013/6/30,32.1,23.6,52.32621765,78.00453949,28.85198158,23.81905389,6.104417304,42.01154665,0.357856423,0.344928144,0.272387332,0.143840614,52.518,1.5629,31.1,22.9
2013/6/30,31.4,22,55.33879089,80.78460693,28.4269752,23.33237339,6.017135074,85.11097145,0.408765723,0.344800274,0.26497959,0.148911073,50.9312,0.4125,31.3,21.6
2013/6/30,31.6,20.5,56.65120316,86.84963226,27.57670489,22.52701832,6.518841068,63.00607544,0.348292483,0.306254824,0.245254185,0.135443459,208.507,5.1782,30.5,21
2013/6/30,31.7,23.5,51.15639496,85.38563538,29.69472429,24.43264603,6.411812464,55.69031231,0.175333607,0.281865702,0.211470522,0.162906996,28.7,0.6233,31.2,24.5
2013/6/30,31.6,22.2,51.28834915,80.3380127,28.93631368,24.36594852,6.423992604,28.71928795,0.251017448,0.25629401,0.182101953,0.131399843,132.118,0.5931,32.6,22.2
